1,2024-10-18,"Intuitive Surgical Stock Pops on Earnings Beat. What Wall Street Thinks of the Results. Intuitive Surgical  stock charged higher after the pioneer of robotic-assisted surgery turned in a strong set of earnings.  Intuitive Surgical stock gained 8.8% to $515.58 in late morning trading, on track for an all-time high, according to Dow Jones Market Data.  For its third quarter, the company reported adjusted earnings of $1.84, beating Wall Street’s call for $1.64, according to FactSet."
2,2024-10-18,Intuitive Surgical Stock Hits Record High on da Vinci Device Demand Intuitive Surgical beat profit and sales forecasts on higher demand for its minimally invasive da Vinci surgical devices.
3,2024-10-18,"Intuitive Surgical Q3 Earnings Beat, Procedures Robust ISRGs third-quarter results reflect a healthy demand for procedures. Higher pricing boosts procedure sales. An improvement in margins buoys well."
4,2024-10-18,Q3 2024 Intuitive Surgical Inc Earnings Call Q3 2024 Intuitive Surgical Inc Earnings Call
5,2024-10-18,"Baron Health Care Fund Q3 2024 Shareholder Letter In Q3 2024, Baron Health Care Fund advanced 5.81% (Inst), vs. 6.74% gain for the Russell 3000 Health Care Index (Benchmark). Click here to read the full letter."
6,2024-10-18,Intuitive Surgical Third-Quarter Results Top Street Views Amid Procedure Volume Gains Intuitive Surgical Third-Quarter Results Top Street Views Amid Procedure Volume Gains
7,2024-10-18,"Intuitive Surgical Inc (ISRG) Q3 2024 Earnings Call Highlights: Strong Revenue and Procedure ... Intuitive Surgical Inc (ISRG) reports a robust 17% revenue increase and significant growth in da Vinci procedures, while navigating capital pressures in Europe and China."
8,2024-10-18,Dow At Record High; Nvidia Gains But Tesla Takes A Hit From FSD Probe (Live Coverage) Dow At Record High; Nvidia Gains But Tesla Takes A Hit From FSD Probe (Live Coverage)
9,2024-10-18,"Intuitive Surgical (ISRG) Q3 2024 Earnings Call Transcript ISRG earnings call for the period ending September 30, 2024."
10,2024-10-19,"Intuitive Surgical price target raised to $525 from $475 at Stifel Stifel analyst Rick Wise raised the firm’s price target on Intuitive Surgical (ISRG) to $525 from $475 and keeps a Buy rating on the shares. The company delivered “strong” Q3 results and the two most critical quarterly line-items – DV5 placements and procedure growth – both exceeded expectations, the analyst tells investors in a post-earnings note. Seven months following the U.S. da Vinci 5 approval, Intuitive is already generating meaningful post-launch growth momentum and early DV5 uptake is t"
11,2024-10-19,Decoding Intuitive Surgical Inc (ISRG): A Strategic SWOT Insight Unveiling the Strengths and Challenges: A Deep Dive into Intuitive Surgical Inc (ISRG) SWOT Analysis
12,2024-10-19,"Compared to Estimates, Intuitive Surgical (ISRG) Q3 Earnings: A Look at Key Metrics While the top- and bottom-line numbers for Intuitive Surgical (ISRG) give a sense of how the business performed in the quarter ended September 2024, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values."
13,2024-10-19,"Intuitive Surgical stock moves higher on Q3 earnings beat Intuitive Surgical (ISRG) soars by over 10% in Friday trading after the biotech and medical robotics developer topped third quarter earnings estimates. Market Domination co-hosts Julie Hyman and Josh Lipton notes ISRGs year-to-date gains of nearly 55% in 2024. To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Luke Carberry Mogan."
14,2024-10-19,"Intuitive Surgical Breaks Out On Massive Earnings Beat, But 2025 Launch Remains Key Intuitive Surgical stock surged early Friday after the robotic surgery giant beat third-quarter earnings expectations."
15,2024-10-19,"Intuitive Surgical : Q3 2024 Investor Presentation Investor Presentation Q3 2024 © 2024 Intuitive Surgical Operations, Inc. ..."
16,2024-10-19,"Intuitive Surgical (ISRG): Financial Growth Fueled by AI-Driven Da Vinci Systems We recently published a list of 10 Best Medical Stocks to Buy Now. In this article, we are going to take a look at where Intuitive Surgical, Inc. (NASDAQ:ISRG) stands against other best medical stocks to buy now. Navigating the Healthcare Landscape: Investment Opportunities and Growth Trends The medical and healthcare industry is one of […]"
17,2024-10-19,"Robotic Surgery Leader, Mobile Carrier Jump To New Highs A leading robotic surgery stock hit a new high on Friday and is in a buy zone. A telecom stock also hit a new high."
18,2024-10-19,"Intuitive Surgical Surges 9% on Strong Q3 Results and Regulatory Wins Robotic-assisted surgery leader posts 17% revenue growth, expands da Vinci installations, and secures South Korean approval for its latest system"
19,2024-10-19,"AI Leaders Broadcom, SentinelOne Lead 5 Stocks Near Buy Points The top stocks to watch tap several hot trends: artificial intelligence, natural foods, robotic surgeries and podcasts."
20,2024-10-19,"Intuitive Surgical Shares Surge 6% as Q3 Earnings Beat Expectations Intuitive Surgicals Q3 results surpass estimates, with increased Da Vinci system sales and 28% net income growth"
21,2024-10-21,"Intuitive Surgical: The Da Vinci Code Intuitive Surgical, world leader in robot-assisted surgery, recently published its financial results for the third quarter of 2024. The company is once again surprising on the upside, and seems to..."
22,2024-10-21,"Results: Intuitive Surgical, Inc. Exceeded Expectations And The Consensus Has Updated Its Estimates Its been a good week for Intuitive Surgical, Inc. ( NASDAQ:ISRG ) shareholders, because the company has just released..."
23,2024-10-22,"Up 800% the Past Decade, Can the Momentum Continue for This Hot Stock? Intuitive Surgical continues to be one of the markets hottest stocks."
24,2024-10-22,Eaton Vance Worldwide Health Sciences Fund Sharpens Focus on Humana Inc in Q3 2024 Insightful Portfolio Adjustments Highlight Growth Opportunities in Healthcare
25,2024-10-23,"Intuitive Surgical (ISRG) Is Considered a Good Investment by Brokers: Is That True? Based on the average brokerage recommendation (ABR), Intuitive Surgical (ISRG) should be added to ones portfolio. Wall Street analysts overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?"
26,2024-10-23,"Thermo Fisher Q3 Earnings Top Estimates, Revenues Miss, Stock Dips In the third quarter of 2024, TMO continued to advance its growth strategy and trusted partner status with customers."
27,2024-10-23,"Has Intuitive Surgical (NASDAQ:ISRG) Stock’s Valuation Gotten Out of Hand? I’ve been bullish on Intuitive Surgical (ISRG) for years, recognizing its dominance in the robotic-assisted surgery market and praising its sustained double-digit growth. Nevertheless, Intuitive’s recent share price gains have expanded its valuation to absurd levels that warrant caution. While Intuitive continues to post outstanding results, including accelerating revenue growth and expanding margins, its valuation multiples may post notable downside risks. Consequently, I have now adopted a neu"
28,2024-10-25,"Got $1,000? 2 Healthcare Stocks to Buy and Hold Forever. These two stocks have moved in different directions this year, but that shouldnt mean much to long-term investors."
29,2024-10-25,Intuitive Surgical : Statement of Changes in Beneficial Ownership - Form 4 Ownership Submission FORM 4 Check this box if no longer...
30,2024-10-28,Intuitive Surgical Inc. stock underperforms Monday when compared to competitors Intuitive Surgical Inc. stock underperforms Monday when compared to competitors
31,2024-10-28,"Deborah Kilpatrick Joins Sonder Capital as its Newest Venture Partner Sonder Capital, a leading healthcare venture firm focused on innovative technologies ushering in a new standard of care in medicine, announced the addition of Deborah Kilpatrick, Ph.D., former CEO of Evidation Health and co-founder of MedtechWomen, as a Venture Partner."
32,2024-10-30,"Intuitive Surgical, Inc. (ISRG): Among UBS’ Top Tech Based Disruptive Stocks For 2030 We recently compiled a list of the UBS’ Top Tech Based Disruptive Stocks For 2030: Top 29 Stocks. In this article, we are going to take a look at where Intuitive Surgical, Inc. (NASDAQ:ISRG) stands against the other tech based disruptive stocks. When it comes to investing and making massive gains on the stock market, disruption […]"
33,2024-10-31,"Is Brainsway (BWAY) Stock Outpacing Its Medical Peers This Year? Here is how Brainsway Ltd. Sponsored ADR (BWAY) and Intuitive Surgical, Inc. (ISRG) have performed compared to their sector so far this year."
34,2024-10-31,Why IBD Stock Of The Day Intuitive Surgical Is Eyeing Yet Another Breakout Intuitive Surgical stock is Wednesdays IBD Stock Of The Day. Shares gapped higher following the robotic surgery titans quarterly beat.
35,2024-11-01,"Healthcare Investing Finding Growth Beyond Pharmaceuticals Companies that manufacture diagnostics, technology and equipment to address the worldâs most pressing medical issues have become increasingly important for progress in the healthcare sector."
36,2024-11-06,"Tracking Baillie Giffords 13F Portfolio - Q3 2024 Update Baillie Giffords diverse $134B portfolio sees stake increases in high-growth companies like Shopify, Sea Ltd., and Microsoft."
37,2024-11-06,"3 Robotic Stocks To Play AI As Nvidia Rally Slows Investors are changing their sentiment when it comes to investing in artificial intelligence (AI) despite the market experiencing significant performance during the last couple of months. Instead, many have found another way to make better strides in the AI market besides investing in semiconductor big leagues and Wall Street sweetheart NVIDIA Corp (NASDAQ:NVDA). Nvidia has […]"
38,2024-11-07,"Intuitive Surgical Inc. stock rises Wednesday, still underperforms market Intuitive Surgical Inc. stock rises Wednesday, still underperforms market"
